Hotel/Resort Name,Type of Residence,Area,Rating,Rating,Reviews,Booking website 1,Booking website 1_Price,Booking website 2,Booking website 2 -Price,Booking website 3,Booking website 3 -Price,Cancellation Details,Breakfast Provision,Payement option,Discount
My Place Hotel-Moab  UT,Hotel,Moab,9.3,     Excellent  ,1604,Booking.com,10426,Hotels.com,10426,Trip.com,8819,Free cancellation,Breakfast included,Pay at the property,40%
Holiday Inn Laramie - University Area,Hotel,Laramie,9,     Excellent  ,3206,Booking.com,11192,Holiday Inn,11192,,,Free cancellation,Breakfast included,Pay at the property,24%
Comfort Suites Greenville,Hotel,Greenville,9.1,     Excellent  ,1893,Booking.com,9650,Hotels.com,9650,ZenHotels.com,9648,Free cancellation,Breakfast included,,
Comfort Inn & Suites,,North Platte,9,     Excellent  ,2365,Booking.com,11088,Hotels.com,11064,Priceline,11036,Free cancellation,Breakfast included,,
Hotel La Quinta Inn & Suites Clarksville,Hotel,Clarksville,8.3,     Very good  ,2641,Booking.com,10660,Hotels.com,10660,ZenHotels.com,10658,Free cancellation,Breakfast included,Breakfast included,
Great Wolf Lodge,Resort,Kansas City,7.9,     Good  ,2459,Booking.com,19495,Hotels.com,18032,ZenHotels.com,18029,Free cancellation,Breakfast included,Pay at the property,
Holiday Inn Express Janesville-I-90 & Us Hwy 14,Hotel,Janesville,8.5,     Excellent  ,2032,Booking.com,11714,Holiday Inn Express,11714,,,Free cancellation,Breakfast included,,Our lowest price
Hampton Inn Los Angeles - West Covina,,West Covina,8.4,     Very good  ,2521,Booking.com,14315,Hampton Inn,14292,Agoda,14290,Free cancellation,Breakfast included,Breakfast included,
Residence Inn by Marriott Tyler,Hotel,Tyler,9.1,     Excellent  ,1294,Booking.com,12562,Residence Inn,12562,Hotels.com,12347,Free cancellation,Breakfast included,Breakfast included,
Comfort Inn & Suites,Hotel,Dalton,8,     Very good  ,1726,Booking.com,11589,Hotels.com,11688,,,Free cancellation,Breakfast included,,Our lowest price
Hotel Hilltop Inn,Hotel,Pullman,8.3,     Very good  ,2443,Booking.com,7432,Hotels.com,7432,ZenHotels.com,7431,Free cancellation,Breakfast included,Breakfast included,37%
Hampton Inn & Suites Franklin Berry Farms  Tn,Hotel,Franklin,9.5,     Excellent  ,1815,Booking.com,19745,Hampton Inn,19747,Agoda,19744,Free cancellation,Breakfast included,,Lower than hotel site
Days Inn Willcox,Hotel,Willcox,7.3 ,     ,630,Booking.com,7810,Trip.com,7811,ZenHotels.com,7808,Free cancellation,Breakfast included,Breakfast included,
Pahrump Nugget Hotel & Casino,Hotel,Pahrump,7.7,     Good  ,2524,Booking.com,6622,Hotels.com,6622,Trip.com,5326,Free cancellation,Breakfast included,,12%
Holiday Inn Express & Suites Napa Valley-American Canyon,Hotel,American Canyon,8.5,     Excellent  ,2580,Booking.com,10422,Holiday Inn Express,10422,ZenHotels.com,10421,Free cancellation,Breakfast included,,24%
Holiday Inn Midland,Hotel,Midland,9.2,     Excellent  ,3207,Booking.com,15613,Holiday Inn,15613,ZenHotels.com,15611,Free cancellation,Breakfast included,Pay at the property,
Comfort Inn Powell,,Powell,8.6,     Excellent  ,2627,Booking.com,12105,Hotels.com,12105,Trip.com,10834,Free cancellation,Breakfast included,,
Bitterroot River Inn & Conference Center,Hotel,Hamilton,8.9,     Excellent  ,2469,Booking.com,12495,Hotels.com,11244,Trip.com,10812,Free cancellation,Breakfast included,Breakfast included,21%
Best Western Plus Sikeston,Hotel,Sikeston,8.4,     Very good  ,2553,Booking.com,8584,Hotels.com,8509,Trip.com,8473,Free cancellation,Breakfast included,,
Best Western Greentree Inn,Hotel,Eugene,8.4,     Very good  ,3464,Booking.com,12603,Hotels.com,10082,Hotels.com,10082,Free cancellation,Breakfast included,Breakfast included,
Hampton Inn & Suites by Hilton Owensboro,Hotel,Owensboro,9.3,     Excellent  ,2121,Booking.com,23036,Hampton Inn,23850,Agoda,23035,Free cancellation,Breakfast included,,Lower than hotel site
Hampton Inn Rochester Webster,Hotel,Webster,8.8,     Excellent  ,1871,Booking.com,10414,Hampton Inn,10415,,,Free cancellation,Breakfast included,Breakfast included,25%
La Quinta Inn & Suites Fowler,Hotel,Fowler,8.2,     Very good  ,2598,Booking.com,10998,Hotels.com,10914,ZenHotels.com,10913,Free cancellation,Breakfast included,Breakfast included,
Omni Bedford Springs Resort,Hotel,Bedford,9,     Excellent  ,2469,Booking.com,30767,ZenHotels.com,30763,ZenHotels.com,30763,Free cancellation,Breakfast included,,
Best Western Hickory,Hotel,Hickory,8.4,     Very good  ,1898,Booking.com,10534,Hotels.com,10534,Destinia,8924,Free cancellation,Breakfast included,Breakfast included,
Hilton Marco Island Beach Resort,Hotel,Marco Island,8.5,     Excellent  ,3640,Booking.com,25542,Hilton,24207,Destinia,23980,Free cancellation,Breakfast included,,
Best Western Amador Inn,Hotel,Jackson,7.4 ,     ,2699,Booking.com,8147,Trip.com,8149,ZenHotels.com,8146,Free cancellation,Breakfast included,,11%
Hilton Garden Inn Frederick,Hotel,Frederick,8.8,     Excellent  ,2720,Booking.com,12940,Garden Inn,12941,Priceline,12875,Free cancellation,Breakfast included,Pay at the property,Lower than hotel site
Holiday Inn Express & Suites Rocky Mount/Smith Mtn Lake,Hotel,Rocky Mount,8.4,     Very good  ,1428,Booking.com,14181,Holiday Inn Express,14181,ZenHotels.com,14179,Free cancellation,Breakfast included,,
Holiday Inn Express & Suites Glenpool-Tulsa South,Hotel,Glenpool,9,     Excellent  ,1390,Holiday Inn Express,8958,Booking.com,8957,Hotels.com,8956,Free cancellation,Breakfast included,Pay at the property,
La Quinta Inn & Suites Pueblo,Hotel,Pueblo,8,     Very good  ,2543,Booking.com,7358,Hotels.com,7358,ZenHotels.com,7357,Free cancellation,Breakfast included,Breakfast included,22%
Fairfield Inn & Suites Poplar Bluff,,Poplar Bluff,9.3,     Excellent  ,1236,Booking.com,11573,Hotels.com,11189,Hotels.com,11189,Free cancellation,Breakfast included,Breakfast included,
Hampton Inn Raleigh-Town Of Wake Forest,Hotel,Wake Forest,8.6,     Excellent  ,1873,Booking.com,13302,Hampton Inn,13303,,,Free cancellation,Breakfast included,,Our lowest price
Comfort Suites Forrest City,Hotel,Forrest City,9,     Excellent  ,2178,Booking.com,13743,Hotels.com,13742,Priceline,13662,Free cancellation,Breakfast included,,
Quality Inn Benson,Hotel,Benson,7.9,     Good  ,2607,Booking.com,9823,Hotels.com,9823,Trip.com,9361,Free cancellation,Breakfast included,Breakfast included,
Hampton Inn By Hilton Williams,,Williams,9.2,     Excellent  ,301,Booking.com,8761,Trip.com,7245,Trip.com,7245,Free cancellation,Breakfast included,Breakfast included,28%
La Quinta Inn & Suites Ely,Hotel,Ely,8.8,     Excellent  ,2578,Booking.com,13131,Hotels.com,13131,Trip.com,11659,Free cancellation,Breakfast included,Breakfast included,
Cambria Hotel Fort Mill,,Fort Mill,9,     Excellent  ,859,Booking.com,11170,Hotels.com,11170,Trip.com,10727,Free cancellation,Breakfast included,,
The Waves Hotel,Hotel,Newport,7.0 ,     ,3375,Booking.com,7557,Hotels.com,7724,Trip.com,6014,Free cancellation,Breakfast included,Breakfast included,37%
Country Inn & Suites by Radisson  Champaign North  IL,Hotel,Champaign,8.6,     Excellent  ,2592,Booking.com,8888,Hotels.com,8888,Trip.com,8440,Free cancellation,Breakfast included,Breakfast included,10%
Cedar Breaks Lodge & Spa,Hotel,Brian Head,8.1,     Very good  ,2185,Booking.com,7052,Hotel site,9490,,,Free cancellation,Breakfast included,,Our lowest price
Holiday Inn Express & Suites Chadron,Hotel,Chadron,9.3,     Excellent  ,1133,Booking.com,12547,Holiday Inn Express,12547,ZenHotels.com,12545,Free cancellation,Breakfast included,Breakfast included,
Hotel Chase On The Lake,Hotel,Walker,8.4,     Very good  ,276,Hotel site,13753,Booking.com,13968,,,Free cancellation,Breakfast included,,Our lowest price
Baymont Inn & Suites Helena,Hotel,Helena,8.2,     Very good  ,2567,Booking.com,7897,Hotels.com,7897,ZenHotels.com,7896,Free cancellation,Breakfast included,Breakfast included,
Best Western Plus Lytle Inn & Suites,Hotel,Lytle,8.6,     Excellent  ,1288,Booking.com,12347,Trip.com,12350,ZenHotels.com,12346,Free cancellation,Breakfast included,Breakfast included,
Best Western Plus  Washington,Hotel,Washington,8.8,     Excellent  ,1025,Booking.com,12224,Hotels.com,12223,ZenHotels.com,12222,Free cancellation,Breakfast included,Breakfast included,
Holiday Inn Express & Suites Salinas,Hotel,Salinas,8.4,     Very good  ,2580,Booking.com,14174,Holiday Inn Express,13350,Holiday Inn Express,13350,Free cancellation,Breakfast included,,19%
Wingate by Wyndham Brighton,Hotel,Brighton,7.8,     Good  ,2611,Booking.com,8338,Hotels.com,9215,,,Free cancellation,Breakfast included,,Our lowest price
Holiday Inn Express Lincoln,Hotel,Lincoln,8.2,     Very good  ,618,Booking.com,8167,Hotels.com,8167,Trip.com,7998,Free cancellation,Breakfast included,,12%
Holiday Inn Express & Suites Childress,Hotel,Childress,8.2,     Very good  ,2271,Holiday Inn Express,10534,Booking.com,11662,,,Free cancellation,Breakfast included,Pay at the property,Our lowest price
Cedar Rapids Marriott,Hotel,Cedar Rapids,8.1,     Very good  ,1580,Booking.com,10327,Hotels.com,9551,ZenHotels.com,9549,Free cancellation,Breakfast included,Pay at the property,
Comfort Suites Castle Rock,Hotel,Castle Rock,8,     Very good  ,2479,Booking.com,8925,Hotels.com,8924,Priceline,8141,Free cancellation,Breakfast included,,18%
Holiday Inn Express & Suites Bartlesville,Hotel,Bartlesville,8.2,     Very good  ,1196,Holiday Inn Express,11393,Booking.com,11433,,,Free cancellation,Breakfast included,Pay at the property,Our lowest price
Holiday Inn Express & Suites Cheney,Hotel,Cheney,9.1,     Excellent  ,2048,Booking.com,14679,Holiday Inn Express,13753,Holiday Inn Express,13753,Free cancellation,Breakfast included,Breakfast included,
Sawtelle Mountain Resort,Hotel,Island Park,8.5,     Excellent  ,2989,Booking.com,13689,Hotels.com,12436,ZenHotels.com,12435,Free cancellation,Breakfast included,,34%
Comfort Inn Oak Ridge,Hotel,Oak Ridge,8.1,     Very good  ,2224,Booking.com,8849,Hotels.com,8849,Trip.com,7755,Free cancellation,Breakfast included,,
Kimpton Cottonwood,,Omaha,9.1,     Excellent  ,1421,Booking.com,20116,Hotels.com,17817,Priceline,17642,Free cancellation,Breakfast included,,
Comfort Suites Seaford,Hotel,Seaford,8.2,     Very good  ,1885,Booking.com,10444,Hotels.com,10444,ZenHotels.com,10235,Free cancellation,Breakfast included,,32%
Morgantown Marriott at Waterfront Place,Hotel,Morgantown,8.8,     Excellent  ,2676,Booking.com,15754,Hotels.com,15894,,,Free cancellation,Breakfast included,Pay at the property,Our lowest price
Hampton Inn Douglas,Hotel,Douglas,8.5,     Excellent  ,1071,Booking.com,17468,Hampton Inn,17469,Hotels.com,17467,Free cancellation,Breakfast included,,Lower than hotel site
Hampton Inn & Suites Weatherford  Tx,,Weatherford,8.6,     Excellent  ,44,Booking.com,14941,Trip.com,14945,,,Free cancellation,Breakfast included,,Our lowest price
Best Western Town Center Inn,Hotel,Weslaco,8.5,     Excellent  ,1960,Booking.com,10749,Hotels.com,9875,Hotels.com,9875,Free cancellation,Breakfast included,Breakfast included,
Hampton Inn and Suites Hemet  CA,Hotel,Hemet,8.8,     Excellent  ,2400,Booking.com,12846,Hampton Inn,12847,,,Free cancellation,Breakfast included,Breakfast included,14%
Hampton Inn & Suites Frederick-Fort Detrick,Hotel,Frederick,8.8,     Excellent  ,3226,Booking.com,11637,Hampton Inn,11638,Priceline,11580,Free cancellation,Breakfast included,,Lower than hotel site
Best Western Plus Kelly Inn & Suites,Hotel,Billings,8.8,     Excellent  ,2037,Booking.com,16346,Trip.com,16349,ZenHotels.com,16343,Free cancellation,Breakfast included,Breakfast included,
Comfort Suites Grand Prairie - Arlington North,Hotel,Grand Prairie,8.6,     Excellent  ,2546,Booking.com,8934,Hotels.com,8934,,,Free cancellation,Breakfast included,,10%
Saint George Inn & Suites,,St. George,8.4,     Very good  ,3677,Booking.com,6721,Hotels.com,6216,Trip.com,4881,Free cancellation,Breakfast included,Breakfast included,
Yellowstone Lodge,Hotel,West Yellowstone,8.2,     Very good  ,2599,Booking.com,8939,Hotels.com,8939,,,Free cancellation,Breakfast included,Breakfast included,13%
Borrego Springs Resort & Golf Club,Hotel,Borrego Springs,8.5,     Excellent  ,2604,Booking.com,12526,Hotels.com,13433,,,Free cancellation,Breakfast included,,Our lowest price
Hampton Inn Edmond,Hotel,Edmond,8,     Very good  ,1475,Booking.com,9522,Hampton Inn,9523,,,Free cancellation,Breakfast included,,Our lowest price
Quality Inn,Hotel,Moriarty,8,     Very good  ,1099,Booking.com,10571,Hotels.com,10843,Priceline,10548,Free cancellation,Breakfast included,Breakfast included,
Best Western Golden Key,Hotel,Auburn,8.7,     Excellent  ,2574,Booking.com,10266,Trip.com,10268,ZenHotels.com,10264,Free cancellation,Breakfast included,Breakfast included,
The Resort at The Mountain,Hotel,Welches,8,     Very good  ,1519,Booking.com,18102,Trip.com,14088,Trip.com,14088,Free cancellation,Breakfast included,Pay at the property,
Country Inn & Suites by Radisson  Traverse City  MI,Hotel,Traverse City,8.6,     Excellent  ,2434,Booking.com,8314,Hotels.com,8314,ZenHotels.com,8312,Free cancellation,Breakfast included,Breakfast included,54%
Hampton Inn & Suites Keller Town Center,,Keller,9.2,     Excellent  ,1018,Booking.com,12506,Hotels.com,12180,Hotels.com,12180,Free cancellation,Breakfast included,Breakfast included,
Comfort Suites Marquette,Hotel,Marquette,8.9,     Excellent  ,1565,Booking.com,11309,Hotels.com,11309,,,Free cancellation,Breakfast included,,11%
Hyatt Regency DFW International Airport,Hotel,Dallas,8.5,     Excellent  ,6495,Booking.com,25888,Hyatt Hotels,25641,Prestigia,23525,Free cancellation,Breakfast included,Pay at the property,
Radisson Hotel La Crosse,Hotel,La Crosse,8.7,     Excellent  ,2629,Booking.com,14262,Trip.com,12232,Trip.com,12232,Free cancellation,Breakfast included,Pay at the property,
Hotel Hampton Inn Raynham Taunton,Hotel,Raynham,8.9,     Excellent  ,2200,Booking.com,12584,Hampton Inn,12585,,,Free cancellation,Breakfast included,Breakfast included,21%
Hampton Inn & Suites Warrington Horsham,Hotel,Wilmington,8.9,     Excellent  ,1546,Booking.com,12679,Hampton Inn,12680,Expedia,12678,Free cancellation,Breakfast included,,Lower than hotel site
Fairfield Inn & Suites Dallas Mansfield,Hotel,Mansfield,8.6,     Excellent  ,1168,Booking.com,10426,Trip.com,9595,ZenHotels.com,9592,Free cancellation,Breakfast included,,
Fairfield Inn & Suites Somerset,,Somerset,9.3,     Excellent  ,605,Booking.com,14782,Fairfield Inn,14782,,,Free cancellation,Breakfast included,Breakfast included,11%
3 Palms Tucson North Foothills,Hotel,Tucson,8.2,     Very good  ,6501,Booking.com,7459,Hotels.com,7087,Trip.com,6464,Free cancellation,Breakfast included,,
Hampton Inn Queen Creek  Az,,Queen Creek,9.1,     Excellent  ,1192,Booking.com,14809,Hampton Inn,14718,Hampton Inn,14718,Free cancellation,Breakfast included,Breakfast included,
Northwoods Lodge,Hotel,Siren,8.9,     Excellent  ,720,Booking.com,14255,Trip.com,14257,ZenHotels.com,14253,Free cancellation,Breakfast included,Breakfast included,
Holiday Inn Express Charleston-Civic Center,Hotel,Charleston,8.3,     Very good  ,2596,Booking.com,10722,Holiday Inn Express,10722,Priceline,10642,Free cancellation,Breakfast included,Breakfast included,
The Landing Hotel & Restaurant,Hotel,Ketchikan,8.7,     Excellent  ,888,Hotel site,11399,Trip.com,12655,,,Free cancellation,Breakfast included,,30%
DoubleTree by Hilton Oak Ridge - Knoxville,Hotel,Oak Ridge,8.6,     Excellent  ,2305,Booking.com,12590,Doubletree US,15819,,,Free cancellation,Breakfast included,,Our lowest price
Hotel Hampton Inn Salisbury,Hotel,Salisbury,8.5,     Excellent  ,2723,Booking.com,12180,Hampton Inn,12181,Priceline,12108,Free cancellation,Breakfast included,Breakfast included,29%
Tides Folly Beach,Hotel,Folly Beach,8.1,     Very good  ,2658,Booking.com,21269,Hotels.com,20254,Trip.com,16673,Free cancellation,Breakfast included,Pay at the property,
Holiday Inn Express & Suites Mitchell,Hotel,Mitchell,9.1,     Excellent  ,1961,Booking.com,17271,Holiday Inn Express,17224,ZenHotels.com,17222,Free cancellation,Breakfast included,Breakfast included,
Hampton Inn Mount Dora,Hotel,Mount Dora,8.8,     Excellent  ,1905,Booking.com,12940,Hampton Inn,12941,Hotels.com,12939,Free cancellation,Breakfast included,,Lower than hotel site
Fairfield Inn & Suites Morgantown Granville,Hotel,Morgantown,8.9,     Excellent  ,2452,Booking.com,12603,Fairfield Inn,10617,Fairfield Inn,10617,Free cancellation,Breakfast included,Breakfast included,
Harrahs Cherokee Valley River Casino &,,Murphy,8.6,     Excellent  ,2442,Booking.com,8074,Hotels.com,9880,,,Free cancellation,Breakfast included,Pay at the property,Our lowest price
Holiday Inn Express Cambridge,Hotel,Cambridge,8.4,     Very good  ,1495,Holiday Inn Express,11381,Booking.com,12933,Priceline,11309,Free cancellation,Breakfast included,Pay at the property,19%
Super 8 by Wyndham Kalispell Glacier National Park,Hotel,Kalispell,8.1,     Very good  ,2673,Booking.com,6535,Super 8,6369,ZenHotels.com,6368,Free cancellation,Breakfast included,Breakfast included,57%
Scottsdale Villa Mirage Resort,Hotel,Scottsdale,8.2,     Very good  ,2230,Booking.com,19121,Hotels.com,18775,Hotels.com,18775,Free cancellation,Breakfast included,,
Hotel L'Auberge Lake Charles,Hotel,Lake Charles,8,     Very good  ,4974,Booking.com,13146,Hotel site,15462,Agoda,11910,Free cancellation,Breakfast included,Pay at the property,Lower than hotel site
Holiday Inn Express And Suites Taylor,Hotel,Taylor,9.3,     Excellent  ,475,Booking.com,14954,Holiday Inn Express,13543,Holiday Inn Express,13543,Free cancellation,Breakfast included,Breakfast included,
Riverhouse on the Deschutes,Hotel,Bend,8.4,     Very good  ,3158,Booking.com,13153,Trip.com,10838,Trip.com,10838,Free cancellation,Breakfast included,Pay at the property,33%
Hotel Ramada Geneva Lakefront,Hotel,Geneva,7.7,     Good  ,1664,Booking.com,15020,Trip.com,11974,Trip.com,11974,Free cancellation,Breakfast included,Pay at the property,
Lake Quinault Lodge,Hotel,Quinault,8,     Very good  ,1795,Hotels.com,15301,Booking.com,15175,Agoda,15174,Free cancellation,Breakfast included,,40%
My Place Hotel-Nashville/Lebanon  TN,,Lebanon,8.7,     Excellent  ,1514,Booking.com,8797,Hotels.com,8796,Agoda,8356,Free cancellation,Breakfast included,Pay at the property,
Home2 Suites by Hilton Grovetown Augusta Area,,Grovetown,9.2,     Excellent  ,974,Booking.com,13597,Home2,13598,,,Free cancellation,Breakfast included,,Our lowest price
Hampton Inn and Suites Monroe  LA,,Monroe,8.9,     Excellent  ,1536,Booking.com,16191,Hampton Inn,16130,Priceline,16113,Free cancellation,Breakfast included,Breakfast included,
Best Western Gadsden Hotel & Suites,Hotel,Gadsden,8.9,     Excellent  ,2586,Booking.com,8840,Hotels.com,8840,ZenHotels.com,8838,Free cancellation,Breakfast included,,
Doubletree By Hilton The Bevy  Boerne  Tx,,Boerne,9.2,     Excellent  ,1176,Booking.com,12289,Doubletree US,12290,,,Free cancellation,Breakfast included,Pay at the property,Our lowest price
Hampton Inn & Suites Spartanburg-I-26-Westgate Mall,Hotel,Spartanburg,8.5,     Excellent  ,2628,Booking.com,10919,Hampton Inn,11434,,,Free cancellation,Breakfast included,,Our lowest price
AmericInn Menominee,Hotel,Menominee,8.7,     Excellent  ,1602,Booking.com,11756,Hotels.com,11755,Hotels.com,11755,Free cancellation,Breakfast included,Breakfast included,
Quality Inn Beaver,Hotel,Beaver,7.2 ,     ,2551,Booking.com,5498,Hotels.com,7909,,,Free cancellation,Breakfast included,Breakfast included,29%
Tru By Hilton Tupelo,,Tupelo,9.1,     Excellent  ,410,Booking.com,10159,Tru by Hilton,10160,Priceline,10064,Free cancellation,Breakfast included,,Lower than hotel site
Mount Airy Casino Resort,Resort,Mount Pocono,8.5,     Excellent  ,4139,Booking.com,14787,Trip.com,12513,Trip.com,12513,Free cancellation,Breakfast included,Pay at the property,
Country Inn & Suites By Radisson  Lubbock Southwest  Tx,Hotel,Lubbock,8.1,     Very good  ,2653,Booking.com,9695,Hotels.com,9695,Trip.com,8768,Free cancellation,Breakfast included,Breakfast included,
Hyatt Place Park City,,Park City,9,     Excellent  ,2533,Booking.com,14334,Hyatt Hotels,14590,ZenHotels.com,13232,Free cancellation,Breakfast included,,Lower than hotel site
Home2 Suites Raynham/taunton  Ma,,Raynham,8.5,     Excellent  ,683,Booking.com,12209,Home2,12210,Agoda,12208,Free cancellation,Breakfast included,Breakfast included,26%
Comfort Suites Lebanon,Hotel,Lebanon,8.7,     Excellent  ,2584,Booking.com,8873,Hotels.com,8872,ZenHotels.com,8871,Free cancellation,Breakfast included,,
Travelodge Angels Camp CA,Hotel,Angels Camp,8,     Very good  ,2653,Booking.com,9229,Hotels.com,9229,Trip.com,8194,Free cancellation,Breakfast included,Pay at the property,21%
Silver Creek,,Bellevue,9.1,     Excellent  ,1857,Booking.com,14689,Trip.com,13726,Trip.com,13726,Free cancellation,Breakfast included,Breakfast included,
Courtyard by Marriott Glassboro Rowan University,Hotel,Glassboro,8.6,     Excellent  ,1994,Booking.com,11272,Courtyard,11308,ZenHotels.com,11270,Free cancellation,Breakfast included,,22%
Holiday Inn Express & Suites Crawfordsville,Hotel,Crawfordsville,8.9,     Excellent  ,1641,Booking.com,16388,Holiday Inn Express,16388,,,Free cancellation,Breakfast included,,Our lowest price
Best Western Executive Inn El Campo,Hotel,El Campo,8.1,     Very good  ,706,Booking.com,9529,Trip.com,9406,ZenHotels.com,9403,Free cancellation,Breakfast included,Breakfast included,
La Quinta Inn & Suites Gillette,,Gillette,9.3,     Excellent  ,2508,Booking.com,12771,Hotels.com,12771,ZenHotels.com,12769,Free cancellation,Breakfast included,Breakfast included,
La Quinta Inn & Suites Idaho Falls,Hotel,Idaho Falls,8.8,     Excellent  ,2611,Booking.com,8414,La Quinta,8414,ZenHotels.com,8413,Free cancellation,Breakfast included,Breakfast included,41%
Home2 Suites By Hilton Flower Mound,,Flower Mound,9,     Excellent  ,99,Booking.com,12864,Trip.com,12643,Trip.com,12643,Free cancellation,Breakfast included,Breakfast included,
Best Western Plus Morristown Conference Center,Hotel,Morristown,8.6,     Excellent  ,2581,Booking.com,12386,Hotels.com,12385,ZenHotels.com,12383,Free cancellation,Breakfast included,Breakfast included,
Best Western Colorado River Inn,Hotel,Needles,8.1,     Very good  ,2722,Booking.com,12294,Trip.com,11813,ZenHotels.com,11810,Free cancellation,Breakfast included,Breakfast included,
Holiday Inn Express & Suites Killeen - Fort Hood Area,Hotel,Killeen,8.7,     Excellent  ,513,Holiday Inn Express,12347,Booking.com,12347,ZenHotels.com,12346,Free cancellation,Breakfast included,Breakfast included,
Sleep Inn & Suites Allendale,Hotel,Allendale,8,     Very good  ,2147,Booking.com,8288,Hotels.com,8288,Trip.com,7768,Free cancellation,Breakfast included,Breakfast included,29%
Radisson Plaza Hotel at Kalamazoo Center,Hotel,Kalamazoo,8.8,     Excellent  ,2774,Booking.com,18768,Hotels.com,20755,,,Free cancellation,Breakfast included,Pay at the property,22%
Tru By Hilton Jackson  Mi,,Jackson,8.8,     Excellent  ,1513,Booking.com,9032,Tru by Hilton,9032,Hotels.com,9031,Free cancellation,Breakfast included,Breakfast included,
Courtyard by Marriott Salisbury,Hotel,Salisbury,8.8,     Excellent  ,1419,Booking.com,16365,Hotels.com,16365,,,Free cancellation,Breakfast included,Pay at the property,Our lowest price
Fairfield Inn & Suites Lebanon Near Expo Center,,Lebanon,9,     Excellent  ,235,Booking.com,16537,Fairfield Inn,16537,,,Free cancellation,Breakfast included,,Our lowest price
Holiday Inn Express Rochelle,Hotel,Rochelle,8.4,     Very good  ,721,Booking.com,12842,Holiday Inn Express,12842,ZenHotels.com,12841,Free cancellation,Breakfast included,Breakfast included,
Best Western Butch Cassidy Inn,Hotel,Beaver,8.1,     Very good  ,1915,Booking.com,8552,Hotels.com,8551,ZenHotels.com,8550,Free cancellation,Breakfast included,Breakfast included,
Hampton Inn & Suites Holly Springs,Hotel,Holly Springs,8.9,     Excellent  ,1741,Booking.com,14797,Hampton Inn,14798,,,Free cancellation,Breakfast included,,Our lowest price
Country Inn & Suites by Radisson  Lumberton  NC,Hotel,Lumberton,7.3 ,     ,2658,Booking.com,8336,Hotels.com,8410,Trip.com,8070,Free cancellation,Breakfast included,Breakfast included,
DoubleTree by Hilton Pleasant Prairie Kenosha,Hotel,Kenosha,8.6,     Excellent  ,2001,Booking.com,11017,Doubletree US,11018,Hotels.com,11016,Free cancellation,Breakfast included,Pay at the property,Lower than hotel site
Holiday Inn Express & Suites Floresville,Hotel,Floresville,7.9,     Good  ,820,Holiday Inn Express,8519,Hotels.com,8519,,,Free cancellation,Breakfast included,Pay at the property,Our lowest price
Best Western Plus Wayland Hotel,,Wayland,8.7,     Excellent  ,463,Booking.com,11734,Hotels.com,11734,,,Free cancellation,Breakfast included,,Our lowest price
Hampton Inn & Suites Grove City,Hotel,Grove City,8.8,     Excellent  ,2622,Booking.com,11995,Hampton Inn,11995,Hotels.com,11994,Free cancellation,Breakfast included,Breakfast included,
La Quinta Inn & Suites Glendive,Hotel,Glendive,8.9,     Excellent  ,2348,Booking.com,9881,Hotels.com,9881,ZenHotels.com,9880,Free cancellation,Breakfast included,Breakfast included,13%
El Monte Sagrado,Hotel,Taos,8.7,     Excellent  ,2657,Booking.com,28873,Trip.com,22800,Trip.com,22800,Free cancellation,Breakfast included,Pay at the property,
Microtel Inn And Suites Bellevue,Hotel,Bellevue,8.1,     Very good  ,2632,Booking.com,8313,Hotels.com,8313,Priceline,8259,Free cancellation,Breakfast included,Breakfast included,
Good Nite Inn Calabasas,Hotel,Calabasas,8,     Very good  ,3073,Booking.com,8049,Hotels.com,8964,,,Free cancellation,Breakfast included,Pay at the property,15%
Adobe Resort,,Yachats,8.2,     Very good  ,2900,Booking.com,7588,Hotels.com,8010,Agoda,7587,Free cancellation,Breakfast included,Pay at the property,46%
Residence Inn Jekyll Island,,Jekyll Island,8.4,     Very good  ,896,Booking.com,16250,Courtyard,16450,Priceline,14585,Free cancellation,Breakfast included,Pay at the property,28%
Holiday Inn Express & Suites Exmore - Eastern Shore,Hotel,Exmore,8.2,     Very good  ,1479,Booking.com,8708,Holiday Inn Express,8708,ZenHotels.com,8707,Free cancellation,Breakfast included,,22%
Holiday Inn Express West Jefferson,Hotel,West Jefferson,8.9,     Excellent  ,1005,Booking.com,10722,Holiday Inn Express,10722,Priceline,10643,Free cancellation,Breakfast included,,
Comfort Inn & Suites Athens,,Athens,8,     Very good  ,1319,Booking.com,12826,Hotels.com,11529,Trip.com,10914,Free cancellation,Breakfast included,Breakfast included,
Holiday Inn Wilkes Barre - East Mountain,Hotel,Wilkes-Barre,8.7,     Excellent  ,4965,Booking.com,10994,Holiday Inn,10994,,,Free cancellation,Breakfast included,Pay at the property,Our lowest price
Great Wolf Lodge New England,,Fitchburg,8.5,     Excellent  ,1405,Hotels.com,19628,Booking.com,21272,,,Free cancellation,Breakfast included,,Our lowest price
Hampton Inn Durango,Hotel,Durango,8.7,     Excellent  ,2720,Booking.com,10581,Hampton Inn,10582,Agoda,10395,Free cancellation,Breakfast included,Breakfast included,43%
Hampton Inn and Suites Lake Placid  NY,,Lake Placid,9.1,     Excellent  ,2557,Booking.com,12133,Hampton Inn,11465,Agoda,11463,Free cancellation,Breakfast included,Breakfast included,43%
Circus Circus Reno Hotel & Casino,Resort,Reno,7.4 ,     ,13217,Booking.com,7240,Hotels.com,7241,Prestigia,6877,Free cancellation,Breakfast included,,
